Month,Year,Municipality,Dengue_Cases
Jan,2020,Bolinao,0
Feb,2020,Bolinao,3
Mar,2020,Bolinao,0
Apr,2020,Bolinao,3
May,2020,Bolinao,5
Jun,2020,Bolinao,3
Jul,2020,Bolinao,2
Aug,2020,Bolinao,1
Sep,2020,Bolinao,1
Oct,2020,Bolinao,2
Nov,2020,Bolinao,3
Dec,2020,Bolinao,3
Jan,2021,Bolinao,4
Feb,2021,Bolinao,1
Mar,2021,Bolinao,10
Apr,2021,Bolinao,4
May,2021,Bolinao,5
Jun,2021,Bolinao,18
Jul,2021,Bolinao,80
Aug,2021,Bolinao,75
Sep,2021,Bolinao,15
Oct,2021,Bolinao,4
Nov,2021,Bolinao,0
Dec,2021,Bolinao,0
Jan,2022,Bolinao,0
Feb,2022,Bolinao,0
Mar,2022,Bolinao,0
Apr,2022,Bolinao,1
May,2022,Bolinao,0
Jun,2022,Bolinao,1
Jul,2022,Bolinao,4
Aug,2022,Bolinao,3
Sep,2022,Bolinao,1
Oct,2022,Bolinao,2
Nov,2022,Bolinao,3
Dec,2022,Bolinao,0
Jan,2023,Bolinao,1
Feb,2023,Bolinao,0
Mar,2023,Bolinao,1
Apr,2023,Bolinao,0
May,2023,Bolinao,0
Jun,2023,Bolinao,0
Jul,2023,Bolinao,0
Aug,2023,Bolinao,4
Sep,2023,Bolinao,3
Oct,2023,Bolinao,3
Nov,2023,Bolinao,4
Dec,2023,Bolinao,0
Jan,2024,Bolinao,1
Feb,2024,Bolinao,5
Mar,2024,Bolinao,0
Apr,2024,Bolinao,1
May,2024,Bolinao,4
Jun,2024,Bolinao,7
Jul,2024,Bolinao,59
Aug,2024,Bolinao,38
Sep,2024,Bolinao,5
Oct,2024,Bolinao,4
Jan,2019,Bugallon,6
Feb,2019,Bugallon,6
Mar,2019,Bugallon,9
Apr,2019,Bugallon,0
May,2019,Bugallon,3
Jun,2019,Bugallon,7
Jul,2019,Bugallon,83
Aug,2019,Bugallon,90
Sep,2019,Bugallon,73
